city_id,city,country,state_province,latitude,longitude,status,total_processing_time_seconds,vegetation_percentage_2020,high_density_percentage_2020,medium_density_percentage_2020,low_density_percentage_2020,total_pixels_2020,vegetation_pixels_2020,ndvi_mean_2020,images_processed_2020,images_found_2020,vegetation_percentage_2024,high_density_percentage_2024,medium_density_percentage_2024,low_density_percentage_2024,total_pixels_2024,vegetation_pixels_2024,ndvi_mean_2024,images_processed_2024,images_found_2024,vegetation_percentage_change,high_density_percentage_change,medium_density_percentage_change,low_density_percentage_change,output_files_count_2020,output_files_count_2024,geographic_bounds_2020,geographic_bounds_2024,error_message
105f4875-d748-46a2-bc67-a915cacf027a,Amman,Jordan,Amman,32.107951336293105,35.895380973815925,success,112.16,1.715102429728442,0.21108952981273135,0.4383039542639352,1.0657089456517757,272870,4680,0.0956677794456482,1,1,4.5554265656279425,0.21557568610961303,1.1150519057500052,3.224798973768324,656382,29901,0.12241381406784058,1,1,165.61,0.45,67.67,202.6,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
45367778-4128-4fd3-84a8-3b0de12855d9,Baguio,Philippines,Benguet,16.37015361892395,120.5681598186493,success,47.12,86.68427181018818,64.19933582572736,15.092994841162097,7.391941143298732,766064,664057,0.6532273888587952,1,1,85.08587468480899,45.48709897394421,26.19693293369491,13.401842777169861,630570,536526,0.5318401455879211,1,1,-1.84,-29.15,73.57,81.3,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
3fcff0ea-7dac-4364-a84e-86a8dd1a77d6,Dammam,Saudi Arabia,Eastern Province,26.547878921520105,50.129392147064216,success,93.68,4.252312476198569,0.6625059405223883,1.5789987190502717,2.010807816625909,317733,13511,0.07138542085886002,1,1,4.728807130665656,0.8423414880839497,1.6995385296162842,2.1869271129654213,316380,14961,0.07634356617927551,1,1,11.21,17.98,7.63,8.76,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
f941ea0a-a1ee-42fb-82d1-2133027b4b74,Kragujevac,Serbia,Šumadija,43.99822500182626,20.95851838588715,success,30.43,88.9241689657255,56.79495564861728,22.980865234247002,9.148348082861208,778217,692023,0.6046857833862305,1,1,87.3521011307703,54.972318548050346,22.483197763384936,9.896584819335002,778319,679878,0.5795694589614868,1,1,-1.77,-3.21,-2.17,8.18,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
c144ab78-f9dc-41f1-8d7a-1d1014d16937,Nilüfer,Turkey,Bursa,40.197470201087604,29.00428712368012,success,48.23,45.75039867698305,15.047928095696372,17.51746708960591,13.185003491680765,575654,263364,0.3486611247062683,1,1,39.23433173399299,9.351276982353983,15.343939241280353,14.539115510358652,575654,225854,0.29410064220428467,1,1,-14.24,-37.86,-12.41,10.27,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
106ff957-d55f-4f8d-af17-aba63ebc5394,Cali,Colombia,Valle del Cauca,3.5154128563014475,-76.48948788642885,success,51.72,77.87363334146761,55.2930139896228,15.513999623956378,7.066619727888435,499942,389323,0.5295032858848572,1,1,77.88509626665972,56.02830995897142,15.330136690835053,6.526649616853243,421901,328598,0.5604234337806702,1,1,0.01,1.33,-1.19,-7.64,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
4712f231-db97-40f7-838a-659c8de41c24,Cartagena,Colombia,Bolívar,10.311478193113038,-75.63255429267885,success,77.22,72.69289688688548,47.58284617551768,15.863589942245387,9.246460769122411,227168,165135,0.5736780166625977,1,1,68.53431181647011,19.63599855657064,29.762155711728578,19.136157548170882,279889,191820,0.3805866539478302,1,1,-5.72,-58.73,87.61,106.96,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
314b8510-44cd-46f0-aafe-496f82e87dd7,Manta,Ecuador,Manabí,-1.037529027905092,-81.03027462959291,success,53.8,45.74376304283421,1.2950862902516922,11.110459986782177,33.33821676580035,307161,140507,0.27802056074142456,1,1,76.84387471392635,27.926462521987478,30.671351024190958,18.246061167747914,422968,325025,0.43271180987358093,1,1,67.99,2056.34,176.06,-45.27,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
ce6543f8-da08-4d21-90f5-82fa654e8611,Medellin,Colombia,Antioquia,6.2974258196396775,-75.49103021621706,success,44.58,71.13935668236545,51.78648851197225,12.671173177865153,6.681694992528052,671177,477471,0.5555355548858643,1,1,60.733756412768756,40.05512091931845,12.76699980403684,7.911635689413467,398034,241741,0.4959009885787964,1,1,-14.63,-22.65,0.76,18.41,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
8e94c6ab-d445-40db-9088-0aca5235aa20,Portoviejo,Ecuador,Manabí,-1.1137332430868399,-80.31616330146791,success,67.03,80.11961848553513,20.15123570638141,35.49120865609247,24.47717412306125,569310,456129,0.433040589094162,1,1,91.00795918159366,46.2046966984513,33.2731497365623,11.530112746580064,588754,535813,0.567582905292511,1,1,13.59,129.29,-6.25,-52.89,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
6bc5cc69-4ab5-418b-a37a-c6a6b8b00113,San Fernando,Chile,Libertador General Bernardo O'Higgins,-34.67172332037338,-70.93170404434206,success,299.41,22.800115946830097,6.509586318274048,9.815106215578284,6.475423412977762,96596,22024,0.060005538165569305,1,1,61.45490098978471,45.80087487064231,12.045343440692278,3.60868267845012,315018,193594,0.44703561067581177,1,1,169.54,603.59,22.72,-44.27,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
c0ac273f-881e-4ea8-ae7a-2f4809e39593,Chancay,Peru,Lima,-11.615278258654929,-77.29049742221834,success,47.42,0.0,0.0,0.0,0.0,1279,0,-0.01497738715261221,1,1,27.233521360409924,10.743383092033355,10.00178294112935,6.488355327247216,387001,105394,0.2048511505126953,1,1,0,1074.34,1000.18,648.84,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
3f70d1aa-999f-423d-ae31-70bd5e63798d,Nablus,Palestine,Nablus,32.2316528528494,35.1995462179184,success,54.34,28.76655656212186,0.7497465415181345,8.438368708506394,19.57844131209733,611540,175919,0.2211323231458664,1,1,17.390522287994244,0.3223010759721359,3.9237008208784383,13.144520391143672,611540,106350,0.1903865784406662,1,1,-39.55,-42.74,-53.5,-32.86,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
616ea825-f196-4610-b198-653eefefce91,Higashi Hiroshima,Japan,Hiroshima,34.4015010463144,132.64415681362155,success,47.11,85.1169641480529,63.38206976187274,13.401916434028676,8.332977952151479,609674,518936,0.651136040687561,1,1,84.27760400506503,68.54061669280246,10.669271859722095,5.067715452540482,596245,502501,0.6890532970428467,1,1,-0.99,8.14,-20.39,-39.18,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
340d3091-dd51-427f-9499-699c6acecb03,Shibuya Tokyo,Japan,Tokyo,35.68655511307397,139.74029481410983,success,43.55,32.91858332829551,10.244911343522555,11.907025652580922,10.766646332192039,545871,179693,0.21060539782047272,1,1,33.914159252775306,14.257877152929213,9.877623869146952,9.778658230699142,586062,198758,0.233243927359581,1,1,3.02,39.17,-17.04,-9.18,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
4fbb8ef8-ca44-4b5b-b47e-f85769401f36,Yokohama,Japan,Kanagawa,35.41728766415625,139.6060556173325,success,11.16,30.472268387072372,7.794780626996153,11.546308401162172,11.131179358914045,423001,128898,0.20362162590026855,1,1,32.38452841494324,11.505936226838436,10.59970214990039,10.278890038204414,457277,148087,0.21965526044368744,1,1,6.28,47.61,-8.2,-7.66,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
8b78afd0-cd94-48b4-9528-bb4ebe5d63b9,Bologna,Italy,Emilia-Romagna,44.495992590851166,11.271666884422304,success,34.65,66.0489368522278,30.987213733661,22.897318089539482,12.164405029027318,701925,463614,0.42419272661209106,1,1,69.23835321908749,35.125007956659196,22.244980232122273,11.868365030306032,706955,489484,0.4497455358505249,1,1,4.83,13.35,-2.85,-2.43,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
7c0bbc97-4e9f-424d-aa53-7648665b26f6,Iquique,Chile,Tarapacá,-20.06649288553961,-70.08697986602785,success,129.71,0.0473943166984637,0.003614820765137062,0.016869163570639622,0.026910332362687018,248975,118,0.07979975640773773,1,1,0.0,0.0,0.0,0.0,33429,0,0.0767509713768959,1,1,-100.0,-0.36,-1.69,-2.69,0,0,"0.000000,0.000000,0.000000,0.000000","0.000000,0.000000,0.000000,0.000000",
